,Type,AB,Site,Impurity,∆H (A-rich),∆H (B-rich),(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),Unnamed: 12,Descriptors ->,Unnamed: 14,AB ->,PBE_delta_H,PBE_latt_const,PBE_gap,Eps_elec,Eps_ion,Ion_rad,BP,MP,Density,At_wt,ICSD_vol,Cov_rad,Ion_Energy,At_rad_1,Elec_Aff,At_rad_2,At_vol,Mend_num,Ion_pot_1,Ion_pot_2,Thermal_expn,Sp_heat_cap,Therm_cond,Elec_cond,Heat_fusion,Heat_vap,Electronegativity,At_num,Period,Group,Valence,Ox_state,Ion_rad.1,BP.1,MP.1,Density.1,At_wt.1,ICSD_vol.1,Cov_rad.1,Ion_Energy.1,At_rad_1.1,Elec_Aff.1,At_rad_2.1,At_vol.1,Mend_num.1,Ion_pot_1.1,Ion_pot_2.1,Thermal_expn.1,Sp_heat_cap.1,Therm_cond.1,Elec_cond.1,Heat_fusion.1,Heat_vap.1,Electronegativity.1,At_num.1,Period.1,Group.1,Valence.1,Ox_state.1,Unnamed: 75,CM ->,CM1,CM2,CM3,CM4,CM5,CM6,CM7,CM8,Unnamed: 85,Elem ->,Ion_rad.2,BP.2,MP.2,Density.2,At_wt.2,ICSD_vol.2,Cov_rad.2,Ion_Energy.2,At_rad_1.2,Elec_Aff.2,At_rad_2.2,At_vol.2,Mend_num.2,Ion_pot_1.2,Ion_pot_2.2,Thermal_expn.2,Sp_heat_cap.2,Therm_cond.2,Elec_cond.2,Heat_fusion.2,Heat_vap.2,Electronegativity.2,At_num.2,Period.2,Group.2,Valence.2,Ox_state.2,SOAP1,SOAP2,SOAP3,SOAP4,SOAP5,SOAP6
91,II-VI,CdTe,M_B,Sc,5.248,7.62,-0.386274,0.001481,0.530193,1.2214,1.660697,1.952177,,,,,-0.95,6.62,0.57,9.01,3.53,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.49,0.0,1.71,13.1,70,8.99,16.91,30.8,0.23,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.97,1261.0,722.72,6.24,127.6,33.9,1.36,869.2,1.6,190.15,1.42,20.5,90,9.01,18.6,18.8,0.2,2.35,0.0,17.49,50.63,2.1,52,5,16,6,4,,,351.39,351.39,351.39,351.39,745.24,233.11,233.11,233.11,,,0.75,3109.0,1814.0,2.99,44.96,24.9,1.44,631.0,1.61,18.1,2.09,15.0,11,6.54,12.8,10.0,0.57,15.8,1.5,16.11,304.8,1.36,21,4,3,3,3,1.8469429116943006,6.207136690410051e-34,1.7333126349006038,5.68255047130443e-34,0.001803655187201458,2.2299255166549506e-36
92,II-VI,ZnO,M_i_A,Cl,7.895961,7.616961,-1.060808,-0.459105,0.264869,0.975318,2.815788,3.845697,,,,,-3.26,4.63,0.62,5.49,5.37,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,1.4,90.19,54.8,1.43,16.0,17.3,0.73,1313.9,0.73,141.1,0.65,14.0,87,13.62,35.12,780.0,0.92,0.27,0.0,0.22,3.41,3.44,8,2,16,2,2,,,254.5,254.5,254.5,254.5,58.78,58.78,58.78,33.93,,,1.81,239.18,172.17,3.21,35.45,29.0,0.99,1251.1,0.99,348.8,0.97,16.9,94,12.97,23.81,0.0,0.48,0.01,0.0,3.21,10.2,3.16,17,3,17,7,1,4.499488643671162,8.6576340126356e-33,4.520540733509188,3.867027748943847e-33,0.006675243795190246,2.9449765219702677e-35
93,II-VI,CdTe,M_B,Ta,6.637,7.585,-0.690457,-0.300721,0.430462,1.184412,1.409013,2.098002,,,,,-0.95,6.62,0.57,9.01,3.53,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.49,0.0,1.71,13.1,70,8.99,16.91,30.8,0.23,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.97,1261.0,722.72,6.24,127.6,33.9,1.36,869.2,1.6,190.15,1.42,20.5,90,9.01,18.6,18.8,0.2,2.35,0.0,17.49,50.63,2.1,52,5,16,6,4,,,1221.5,1221.5,1221.5,1221.5,14823.3,810.35,810.35,810.35,,,0.64,5730.0,3293.0,16.65,180.95,17.6,1.34,761.0,1.43,60.0,2.09,10.9,48,7.89,15.0,6.3,0.14,57.5,8.1,36.0,737.0,1.5,73,6,5,5,5,1.8469429116943006,6.207136690410051e-34,1.7333126349006038,5.68255047130443e-34,0.001803655187201458,2.2299255166549506e-36
94,II-VI,CdTe,M_B,Ba,5.676,7.574,0.699212,1.08301,1.445813,1.746675,2.086069,2.471447,,,,,-0.95,6.62,0.57,9.01,3.53,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.49,0.0,1.71,13.1,70,8.99,16.91,30.8,0.23,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.97,1261.0,722.72,6.24,127.6,33.9,1.36,869.2,1.6,190.15,1.42,20.5,90,9.01,18.6,18.8,0.2,2.35,0.0,17.49,50.63,2.1,52,5,16,6,4,,,937.04,937.04,937.04,937.04,7845.51,621.64,621.64,621.64,,,1.42,2078.0,1002.0,3.59,137.33,62.8,1.98,502.9,2.22,-52.0,2.76,39.24,9,5.21,10.0,20.6,0.2,18.4,2.8,8.01,140.2,0.89,56,6,2,2,2,1.8469429116943006,6.207136690410051e-34,1.7333126349006038,5.68255047130443e-34,0.001803655187201458,2.2299255166549506e-36
95,IV-IV,GeC,M_i_neut,O,7.144854,7.517438,-1.353274,-0.829643,-0.281107,0.210996,0.715697,3.045044,,,,,0.75,4.6,1.65,24.29,1.35,0.53,3107,1211.5,5.32,72.61,22.2,1.22,762.1,1.37,120.0,1.52,13.6,79,7.9,15.93,5.7,0.32,59.9,0.0,31.8,334.3,2.01,32,4,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,85.59,134.1,134.1,134.1,25.14,25.14,25.14,16.05,,,1.4,90.19,54.8,1.43,16.0,17.3,0.73,1313.9,0.73,141.1,0.65,14.0,87,13.62,35.12,780.0,0.92,0.27,0.0,0.22,3.41,3.44,8,2,16,2,2,4.63315243591369,1.6316407085416245e-06,4.6331524359137,1.6316407085416204e-06,0.007393284176341233,2.721557298661318e-35
96,II-VI,ZnS,M_i_A,Sc,4.502325,7.511085,0.866364,1.8399,2.560169,3.226894,3.794865,4.446814,,,,,-2.01,5.45,2.01,5.9,3.39,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,0.29,717.82,392.2,2.07,32.07,25.7,1.02,999.58,1.27,200.42,1.09,15.5,88,10.36,23.33,70.0,0.71,0.27,0.0,1.73,10.0,2.58,16,3,16,6,6,,,267.11,267.11,267.11,267.11,123.37,123.37,123.37,71.23,,,0.75,3109.0,1814.0,2.99,44.96,24.9,1.44,631.0,1.61,18.1,2.09,15.0,11,6.54,12.8,10.0,0.57,15.8,1.5,16.11,304.8,1.36,21,4,3,3,3,2.6262369858463246,1.2975380565924704e-33,2.6400378022784063,1.6480931974907875e-33,0.003272856634979068,1.5835531799237419e-35
97,II-VI,ZnS,M_i_neut,Ti,3.163494,7.429333,0.456331,1.452345,2.427066,3.083972,3.691995,4.320391,,,,,-2.01,5.45,2.01,5.9,3.39,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,0.29,717.82,392.2,2.07,32.07,25.7,1.02,999.58,1.27,200.42,1.09,15.5,88,10.36,23.33,70.0,0.71,0.27,0.0,1.73,10.0,2.58,16,3,16,6,6,,,186.55,292.27,292.27,292.27,155.88,155.88,155.88,99.49,,,0.61,3560.0,1935.0,4.54,47.88,17.6,1.32,658.0,1.45,20.0,2.0,10.64,43,6.82,13.58,8.6,0.52,21.9,2.6,18.6,425.2,1.54,22,4,4,4,4,2.638852207351708,9.831788367567522e-07,2.638852207351711,9.831788367567598e-07,0.00368832335171984,7.714390646485324e-35
98,IV-IV,SiC,M_B,Sb,6.971529,7.388987,-0.4812,0.025472,1.804288,2.58313,3.225696,3.979089,,,,,-0.42,4.25,1.27,18.06,2.27,0.26,2630,1683.0,2.33,28.09,20.0,1.11,786.4,1.32,133.6,1.44,12.1,78,8.15,16.34,2.6,0.7,148.0,0.0,50.2,359.0,1.9,14,3,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,388.24,388.24,388.24,388.24,6268.14,101.89,101.89,101.89,,,0.76,1860.0,903.91,6.69,121.76,30.2,1.4,833.7,1.59,101.0,1.53,18.23,85,8.64,16.53,11.0,0.21,24.3,2.6,19.83,67.97,2.05,51,5,15,5,3,6.511464222825945,5.567189550106955e-33,6.110856560679431,1.8169143340327793e-33,0.006358851780103465,1.1038407002793809e-35
99,III-V,BAs,M_A,Hf,7.609384,7.386991,-0.979216,-0.445454,0.928173,1.599742,2.096178,2.588606,,,,,-0.07,4.81,1.22,25.4,0.0,0.23,4275,2365.0,2.34,10.81,7.7,0.82,800.6,0.98,27.0,1.17,4.6,72,5.3,25.15,4.7,1.03,27.0,0.0,22.6,507.8,2.04,5,2,13,3,3,0.58,876.0,1090.0,5.78,74.92,21.5,1.2,947.0,1.39,77.0,1.33,13.1,84,9.81,18.63,15.4,0.33,50.0,3.8,27.7,32.4,2.16,33,4,15,5,3,,,14340.62,105.9,105.9,105.9,1141.31,1141.31,1141.31,1141.31,,,0.83,4875.0,2504.0,13.31,178.49,22.4,1.44,642.0,1.56,0.0,2.16,13.6,45,6.65,14.93,5.9,0.14,23.0,3.4,21.76,661.07,1.3,72,6,4,4,4,3.7128061478544914,6.405618683918257e-34,3.9562055103048883,1.5390482922696302e-33,0.003863481943657133,6.669755473934845e-35
100,II-VI,CdS,M_i_neut,Cs,4.438366,7.37151,-0.574333,-0.246199,1.778028,2.31922,3.063474,3.452809,,,,,-1.3,5.94,1.03,6.21,4.0,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.49,0.0,1.71,13.1,70,8.99,16.91,30.8,0.23,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.29,717.82,392.2,2.07,32.07,25.7,1.02,999.58,1.27,200.42,1.09,15.5,88,10.36,23.33,70.0,0.71,0.27,0.0,1.73,10.0,2.58,16,3,16,6,6,,,684.7,1072.72,1072.72,1072.72,357.57,357.57,357.57,228.23,,,1.74,944.0,301.54,1.87,132.91,67.5,2.35,375.7,2.67,45.49,3.34,71.07,5,3.89,25.1,100.0,0.24,35.9,5.3,2.09,67.74,0.79,55,6,1,1,1,2.15256543971761,5.439323460559492e-07,2.1525654397176153,5.439323460559461e-07,0.0027475615850849552,1.052301107762349e-34
101,IV-IV,SnC,M_i_B,C,7.362067,7.362067,-0.270398,-0.270398,1.246668,1.246668,2.010536,2.589931,,,,,1.51,5.09,0.62,10.71,5.61,0.71,2876,505.12,7.31,118.71,27.0,1.41,708.6,1.62,121.0,1.72,16.3,80,7.34,14.63,22.0,0.23,66.6,8.7,7.2,290.37,1.96,50,5,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,117.93,117.93,117.93,68.09,16.34,16.34,16.34,16.34,,,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,3.229197037919513,3.767659353575503e-33,3.212002410902907,4.5253422437813335e-33,0.004336450799528546,5.381251627845574e-35
102,IV-IV,SnC,M_B,Te,5.172788,7.360248,-0.376481,1.154114,1.583503,1.920151,2.454275,2.68933,,,,,1.51,5.09,0.62,10.71,5.61,0.71,2876,505.12,7.31,118.71,27.0,1.41,708.6,1.62,121.0,1.72,16.3,80,7.34,14.63,22.0,0.23,66.6,8.7,7.2,290.37,1.96,50,5,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,1180.22,1180.22,1180.22,1180.22,6567.17,86.73,86.73,86.73,,,0.97,1261.0,722.72,6.24,127.6,33.9,1.36,869.2,1.6,190.15,1.42,20.5,90,9.01,18.6,18.8,0.2,2.35,0.0,17.49,50.63,2.1,52,5,16,6,4,3.271517185939868,4.250361255775017e-33,3.0702422028205127,4.392024747255332e-33,0.0031948410018943973,7.512200435051277e-36
103,IV-IV,GeC,M_i_B,F,6.803752,7.333756,-1.328815,-0.801856,-0.310414,0.250976,2.683869,3.468888,,,,,0.75,4.6,1.65,24.29,1.35,0.53,3107,1211.5,5.32,72.61,22.2,1.22,762.1,1.37,120.0,1.52,13.6,79,7.9,15.93,5.7,0.32,59.9,0.0,31.8,334.3,2.01,32,4,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,125.09,125.09,125.09,72.22,27.08,27.08,27.08,27.08,,,1.33,85.0,53.55,1.7,19.0,16.4,0.72,1681.0,0.72,328.0,0.57,12.6,93,17.42,34.97,1800.0,0.82,0.03,12.0,0.26,3.27,3.98,9,2,17,1,1,4.637289786948044,2.8926713320826415e-33,4.616038299791712,7.778717945316993e-34,0.006883345663438314,6.280020834688352e-35
104,II-VI,ZnSe,M_i_neut,Cs,5.745138,7.297979,-0.687752,-0.260784,2.082935,2.667926,3.317415,3.283547,,,,,-1.81,5.74,1.14,7.31,3.34,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.75,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,442.68,693.55,693.55,693.55,786.02,786.02,786.02,501.71,,,1.74,944.0,301.54,1.87,132.91,67.5,2.35,375.7,2.67,45.49,3.34,71.07,5,3.89,25.1,100.0,0.24,35.9,5.3,2.09,67.74,0.79,55,6,1,1,1,2.318776914989128,7.06958268308071e-07,2.318776914989132,7.069582683080643e-07,0.0030698049879489585,1.582543448587571e-34
105,IV-IV,SnC,M_A,Pb,1.461677,7.276597,-0.972184,-0.64685,-0.185133,1.525382,2.179812,2.524943,,,,,1.51,5.09,0.62,10.71,5.61,0.71,2876,505.12,7.31,118.71,27.0,1.41,708.6,1.62,121.0,1.72,16.3,80,7.34,14.63,22.0,0.23,66.6,8.7,7.2,290.37,1.96,50,5,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,19594.01,1139.7,1139.7,1139.7,223.33,223.33,223.33,223.33,,,1.19,2023.0,600.65,11.35,207.2,30.3,1.47,715.5,1.75,110.0,1.81,18.17,81,7.42,15.03,28.8,0.13,35.3,4.8,4.77,177.9,2.33,82,6,14,4,2,3.0702422028205127,4.126142308156383e-33,3.271517185939858,4.477836849489226e-33,0.003194841001894387,3.738922598408322e-36
106,II-VI,CdS,M_i_B,Ir,4.763054,7.268054,-0.073768,0.750806,1.248897,1.75209,2.265716,2.814996,,,,,-1.3,5.94,1.03,6.21,4.0,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.49,0.0,1.71,13.1,70,8.99,16.91,30.8,0.23,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.29,717.82,392.2,2.07,32.07,25.7,1.02,999.58,1.27,200.42,1.09,15.5,88,10.36,23.33,70.0,0.71,0.27,0.0,1.73,10.0,2.58,16,3,16,6,6,,,1245.24,1245.24,1245.24,718.94,479.29,479.29,479.29,479.29,,,0.63,4700.0,2720.0,22.6,192.22,13.8,1.27,880.0,1.36,150.0,1.87,8.54,60,9.1,16.0,6.4,0.13,147.0,21.3,26.36,563.58,2.2,77,6,9,3,4,2.152762531962469,1.8019779641203462e-33,2.1431867265981808,2.2958215834861295e-33,0.002428977397083684,3.422178262923123e-36
107,II-VI,ZnSe,M_i_B,Bi,6.282951,7.242951,0.855706,1.258895,1.632662,2.217369,2.687258,3.141839,,,,,-1.81,5.74,1.14,7.31,3.34,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.75,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,867.82,867.82,867.82,501.04,1135.68,1135.68,1135.68,1135.68,,,1.03,1837.0,544.59,9.75,208.98,35.3,1.46,703.3,1.7,110.0,1.63,21.3,86,7.29,16.69,13.4,0.12,7.87,0.9,11.0,179.0,2.02,83,6,15,5,3,2.3193064838850166,2.081986417392955e-34,2.30809798135609,2.3478405325168746e-34,0.002711200932115508,1.889153621169365e-35
108,II-VI,ZnS,M_i_B,Mg,4.931966,7.236806,-1.093451,2.03071,2.760108,3.503716,4.208352,4.560525,,,,,-2.01,5.45,2.01,5.9,3.39,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,0.29,717.82,392.2,2.07,32.07,25.7,1.02,999.58,1.27,200.42,1.09,15.5,88,10.36,23.33,70.0,0.71,0.27,0.0,1.73,10.0,2.58,16,3,16,6,6,,,132.18,132.18,132.18,76.32,81.4,81.4,81.4,81.4,,,0.72,1380.0,922.0,1.74,24.3,23.4,1.36,737.7,1.6,-230.0,1.72,13.97,68,7.65,15.04,24.8,1.02,156.0,22.4,8.95,127.6,1.31,12,3,2,2,2,2.6400378022784032,1.3109056044203937e-33,2.6262369858463277,1.549208319976125e-33,0.0032728566349790583,4.3594492475295795e-35
109,II-VI,CdTe,M_B,Sr,5.331,7.229,0.275373,0.988283,1.324135,1.701322,1.985532,2.396041,,,,,-0.95,6.62,0.57,9.01,3.53,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.49,0.0,1.71,13.1,70,8.99,16.91,30.8,0.23,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.97,1261.0,722.72,6.24,127.6,33.9,1.36,869.2,1.6,190.15,1.42,20.5,90,9.01,18.6,18.8,0.2,2.35,0.0,17.49,50.63,2.1,52,5,16,6,4,,,635.85,635.85,635.85,635.85,3093.5,421.82,421.82,421.82,,,1.26,1655.0,1042.0,2.54,87.62,56.0,1.91,549.5,2.15,-168.0,2.45,33.7,8,5.7,11.03,22.5,0.3,3.53,5.0,8.2,136.9,0.95,38,5,2,2,2,1.8469429116943006,6.207136690410051e-34,1.7333126349006038,5.68255047130443e-34,0.001803655187201458,2.2299255166549506e-36
110,II-VI,ZnO,M_i_neut,Na,5.012248,7.191727,-1.30159,-0.724644,1.391177,2.377708,3.55298,4.183408,,,,,-3.26,4.63,0.62,5.49,5.37,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,1.4,90.19,54.8,1.43,16.0,17.3,0.73,1313.9,0.73,141.1,0.65,14.0,87,13.62,35.12,780.0,0.92,0.27,0.0,0.22,3.41,3.44,8,2,16,2,2,,,109.79,172.0,172.0,172.0,45.87,45.87,45.87,29.28,,,1.02,1156.0,371.0,0.97,22.99,39.7,1.54,495.8,1.9,52.7,2.23,23.7,2,5.14,47.29,71.0,1.23,141.0,20.1,2.6,98.01,0.93,11,3,1,1,1,4.51651776898542,1.6272628423404136e-06,4.516517768985426,1.6272628423404352e-06,0.007185296818542799,1.1219491403900527e-35
111,IV-IV,SiC,M_i_neut,Zn,7.156721,7.156721,-1.17947,1.017106,2.055246,2.544964,3.174117,3.73717,,,,,-0.42,4.25,1.27,18.06,2.27,0.26,2630,1683.0,2.33,28.09,20.0,1.11,786.4,1.32,133.6,1.44,12.1,78,8.15,16.34,2.6,0.7,148.0,0.0,50.2,359.0,1.9,14,3,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,152.25,238.53,238.53,238.53,102.23,102.23,102.23,65.25,,,0.74,1180.0,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,6.475021316705634,1.5033498427258482e-06,6.475021316705643,1.5033498427258266e-06,0.010542554876511321,3.119234231162271e-36
112,IV-IV,SiC,M_i_B,Al,6.950529,7.109779,0.34209,1.313648,2.053387,2.460742,3.130156,3.668305,,,,,-0.42,4.25,1.27,18.06,2.27,0.26,2630,1683.0,2.33,28.09,20.0,1.11,786.4,1.32,133.6,1.44,12.1,78,8.15,16.34,2.6,0.7,148.0,0.0,50.2,359.0,1.9,14,3,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,85.7,85.7,85.7,49.48,42.41,42.41,42.41,42.41,,,0.54,2740.0,933.5,2.7,26.98,16.6,1.18,577.6,1.43,45.0,1.62,10.0,73,5.99,18.83,23.1,0.9,237.0,37.7,10.7,290.8,1.61,13,3,13,3,3,6.480341570442254,5.021335544184568e-33,6.45763358631194,1.5312557308089598e-33,0.010060741048138394,4.273280105399245e-35
113,II-VI,ZnO,M_B,I,2.053156,7.101614,-1.081831,-0.501996,1.658116,2.641058,3.777396,4.423181,,,,,-3.26,4.63,0.62,5.49,5.37,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,1.4,90.19,54.8,1.43,16.0,17.3,0.73,1313.9,0.73,141.1,0.65,14.0,87,13.62,35.12,780.0,0.92,0.27,0.0,0.22,3.41,3.44,8,2,16,2,2,,,793.45,793.45,793.45,793.45,6874.36,129.57,129.57,129.57,,,2.2,457.5,386.7,4.93,126.9,42.5,1.33,1008.4,1.33,295.3,1.32,25.74,96,10.45,19.13,87.0,0.14,0.45,0.0,7.76,20.9,2.66,53,5,17,7,1,4.557811196506845,8.409463094278038e-33,4.27739898422176,4.717051800655213e-33,0.0044509874965887155,9.279552353909114e-36
114,IV-IV,GeC,M_A,Rh,3.480516,7.072358,-1.420512,-0.852344,0.859077,1.536491,2.219301,2.943355,,,,,0.75,4.6,1.65,24.29,1.35,0.53,3107,1211.5,5.32,72.61,22.2,1.22,762.1,1.37,120.0,1.52,13.6,79,7.9,15.93,5.7,0.32,59.9,0.0,31.8,334.3,2.01,32,4,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,4641.73,442.25,442.25,442.25,135.41,135.41,135.41,135.41,,,0.67,3970.0,2236.0,12.41,102.91,11.5,1.25,720.0,1.34,120.0,1.83,8.3,59,7.46,18.08,8.2,0.24,150.0,23.0,21.76,495.39,2.28,45,5,9,6,3,4.386572647481614,2.2742901282866618e-33,4.674141926140658,1.091831012750878e-33,0.004564591724746741,7.417539993616509e-36
115,II-VI,CdTe,M_B,Ca,5.151,7.049,-0.039856,0.797962,1.198016,1.469262,1.848559,2.277767,,,,,-0.95,6.62,0.57,9.01,3.53,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.49,0.0,1.71,13.1,70,8.99,16.91,30.8,0.23,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.97,1261.0,722.72,6.24,127.6,33.9,1.36,869.2,1.6,190.15,1.42,20.5,90,9.01,18.6,18.8,0.2,2.35,0.0,17.49,50.63,2.1,52,5,16,6,4,,,334.66,334.66,334.66,334.66,662.89,222.01,222.01,222.01,,,1.0,1757.0,1112.0,1.55,40.08,44.1,1.74,589.8,1.97,-156.0,2.23,25.9,7,6.11,11.87,22.3,0.65,200.0,31.3,8.53,154.67,1.0,20,4,2,2,2,1.8469429116943006,6.207136690410051e-34,1.7333126349006038,5.68255047130443e-34,0.001803655187201458,2.2299255166549506e-36
116,II-VI,ZnS,M_i_neut,Ir,5.411389,7.044389,-0.447265,0.008024,1.091375,1.900933,3.489566,4.1869,,,,,-2.01,5.45,2.01,5.9,3.39,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,0.29,717.82,392.2,2.07,32.07,25.7,1.02,999.58,1.27,200.42,1.09,15.5,88,10.36,23.33,70.0,0.71,0.27,0.0,1.73,10.0,2.58,16,3,16,6,6,,,652.93,1022.95,1022.95,1022.95,545.57,545.57,545.57,348.23,,,0.63,4700.0,2720.0,22.6,192.22,13.8,1.27,880.0,1.36,150.0,1.87,8.54,60,9.1,16.0,6.4,0.13,147.0,21.3,26.36,563.58,2.2,77,6,9,3,4,2.638852207351708,9.831788367567522e-07,2.638852207351711,9.831788367567598e-07,0.00368832335171984,7.714390646485324e-35
117,IV-IV,SiGe,M_i_B,C,6.933629,7.029664,-0.993606,0.645027,0.645027,0.756983,0.756983,1.217235,,,,,0.1,5.41,0.44,15.31,3.23,0.26,2630,1683.0,2.33,28.09,20.0,1.11,786.4,1.32,133.6,1.44,12.1,78,8.15,16.34,2.6,0.7,148.0,0.0,50.2,359.0,1.9,14,3,14,4,4,0.53,3107.0,1211.5,5.32,72.61,22.2,1.22,762.1,1.37,120.0,1.52,13.6,79,7.9,15.93,5.7,0.32,59.9,0.0,31.8,334.3,2.01,32,4,14,4,4,,,31.06,31.06,31.06,17.93,81.98,81.98,81.98,81.98,,,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,2.693474962191786,2.440463959827421e-34,2.6793012840659935,3.980014465840008e-34,0.0033680836337559666,1.1368656488787968e-35
